11501693|10.4
11505971|13.6
11503988|9.9
99990081|6.6
11505646|15.3
99990136|17.5
11404740|9.9
11503937|9.3
11500600|9.3
11304784|9.4
11503886|15.4
11406178|8.7
11501171|7.7
11504443|12.4
99990077|10.2
11504554|14.1
11501264|9.4
11501234|9.4
11409449|8.9
11501524|13.9
11503517|9.5
11504556|13.6
11504675|15.2
99990078|4.3
11505538|7.0
11403830|2.4
11505037|9.5
99990050|3.9
99990155|10.2
11504232|7.4
11501294|10.4
11500263|8.3
11200172|19.6
11503166|5.6
11500732|6.1
11400715|14.1
11501230|17.4
11500290|15.3
11400557|13.4
99990079|11.5
11501100|12.4
11404842|3.0
11503490|6.0
11403947|1.8
11505990|14.8
11501536|12.9
11500340|9.1
11503555|9.3
11504593|13.9
11502432|8.2
11502028|16.7
11401167|9.6
99990004|4.0
11504184|14.3
99990127|11.6
11505331|7.0
99990222|11.0
11500724|10.2
11502981|12.5
99990170|10.9
11506421|8.0
11505915|12.5
99990075|5.2
99990118|14.0
11504311|13.0
11501522|4.8
11503843|8.3
99990167|3.4
99990137|7.4
99990028|11.6
11400289|12.1
11407252|2.6
11500248|4.6
11401530|11.3
99990098|14.5
11500007|4.8
11500081|8.9
11503188|13.1
11403079|17.0
11504783|16.3
11501306|12.5
11500611|8.6
99990154|15.6
11504260|13.7
11504051|5.4
99990184|9.5
11500364|6.9
99990012|2.9
99990146|13.6
11501265|13.6
99990115|20.0
99990097|8.9
99990112|11.0
11503106|11.9
11403979|17.3
99990157|11.6
11501551|10.1
11503681|11.7
11401869|9.0
99990206|10.3
11502595|8.7
11504879|11.9
11404314|11.9
99990069|8.0
11502843|7.4
11505031|18.1
11504194|4.3
11505350|5.9
11409483|7.9
11500478|12.0
11500182|11.9
99990099|11.9
11405106|12.0
99990123|17.8
99990104|8.9
99990194|7.5
11501194|6.2
11501652|9.7
11501096|9.8
11500074|3.2
11401597|12.0
11500216|4.2
11501573|6.2
11500359|9.8
99990031|8.5
11502539|0.5
11501487|6.1
11501848|13.2
11501644|18.0
11402135|7.9
11500320|11.3
99990071|7.5
99990038|12.0
11504470|5.2
11502003|10.7
99990060|7.3
99990207|9.6
99990107|13.2
99990032|18.0
11500857|14.7
11501590|4.8
